category,number,size,model,hauling_capacity,half_day_rate,daily_rate,weekly_rate,is_available
Open ,U12,"77""x12'",PJ single axle utility,2000,25,35,160,true
Open ,U14,"83""x14'",PJ dbl. axle utility,5000,0,45,200,true
Open ,C16*,"83""x16'",PJ carhauler no sides mesh tailgate,7000,0,45,200,true
Open ,C20*,"83""x20'",PJ carhauler no sides slide in ramps,7000,0,45,200,true
Open ,T20SW*,"102""x20'",Maxxd tilt super wide,10000,0,60,270,true
Open ,TJ20*,"83""x20'",PJ tilt,12000,0,60,270,true
Open ,T20*,"83""x20'",Load Trail,10000,0,60,270,true
Open ,T22*,"83""x22'",Load Trail,12000,0,60,270,true
Open ,DOT 22*,"102""x22",Maxxd deckover tilt,10000,0,65,300,true
Open ,DO18,"102""x18'","deckover 3' dove, stand up ramps",7000,0,50,225,true
Open ,DO18F,"102""x18'",straight deck,8000,0,50,225,true
Open ,SW20*,"102""x20'",superwide with ramps,10000,0,60,270,true
Open ,DO22*,"102""x22'",5' dove monster ramps,10000,0,65,300,true
Open ,DO24H*,"102""x24'",Load Trail 5' dove monster ramps,12000,0,65,300,true
Open ,DO24*,"102""x24'",5' dove monster ramps,10000,0,65,300,true
Open ,G26*,"102""x26'",5' dove monster ramps,12000,0,75,340,true
Open ,G30*,"102""x30'",monster ramps super single Drated 14K GVW,18000,0,100,450,true
Open ,G34,"102""x34'",straight deck slide in ramps,12000,60,100,450,true
Open ,GT32*,"102""x32'",tandem dual 5' dove monster ramp,20000,60,100,450,true
Open ,GT34*,"102""x34'",tandem dual 5' dove monster ramp,20000,60,100,450,true
Open ,GT35*,"102""x35'",tandem dual 5' dove monster ramp,20000,60,100,450,true
Open ,GT36*,"102""x36'",tandem dual 5' dove monster ramp,20000,60,100,450,true
Dump & Stock,D12,"83""x12'",Maxxd dump honda engine,10000,45,70,320,true
Dump & Stock,D14,"83""x14'",Maxxd dump with honda engine,10000,45,70,320,true
Dump & Stock,D14A,"83""x14'",PJ dump with honda engine,10000,45,70,320,true
Dump & Stock,D14B,"83""x14'",Maxxd dump with honda engine,10000,45,70,320,true
Single axle Enclosed,46,4x6,4' high,0,20,30,125,true
Single axle Enclosed,58,5x8,5' high,0,20,30,135,true
Single axle Enclosed,58V,5x8 ,V nose 5' high,0,20,30,135,true
Single axle Enclosed,58VA,5x8,V nose 5' high,0,20,30,135,true
Single axle Enclosed,510V,5x10,V nose 5' high,0,25,35,145,true
Single axle Enclosed,510VR,5x10,V hose 5' high ramp door,0,25,35,145,true
Single axle Enclosed,610V,6x10,V nose 6' high double door,0,25,35,155,true
Single axle Enclosed,612,6x12,V nose 6.5' high,0,25,35,155,true
Single axle Enclosed,612V,6x12,V nose 6' high,0,25,35,155,true
Single axle Enclosed,612VR,6x12,V nose 6' high ramp door,0,25,35,155,true
Single axle Enclosed,612A,6x12,spare double door 6' high,0,25,35,155,true
Double axle enclosed,714V,7x14,V nose barn doors 6' high,0,35,45,200,true
Double axle enclosed,714R,7x14,6' high ramp door,0,35,45,200,true
Double axle enclosed,7x14,714VR,"7x14 V nose ramp door 77.75"" high",0,35,45,200,true
Double axle enclosed,716,7x16,6.5' high double doors,0,35,50,225,true
Double axle enclosed,716A,7x16,6.5' high double door,0,35,50,225,true
Double axle enclosed,716RA,7X16,6.5' high ramp door,0,35,50,225,true
Double axle enclosed,716R,7x16,"6.5' high ramp door opening 74"" high",0,40,50,225,true
Double axle enclosed,716VR,7x16,7' high V nose ramp door,0,40,50,225,true
Double axle enclosed,18,"8.5""x18'","7'8"" high barn doors",0,40,65,290,true
Double axle enclosed,18R,"8.5""x18'","7'8"" high ramp door",0,40,65,290,true
Double axle enclosed,20,"8.5""x20'","7'8"" high double doors",0,40,65,290,true
Double axle enclosed,20R,"8.5""x20'","7'8"" high ramp door",0,40,65,290,true
Double axle enclosed,22VR,"8.5""x22'","80.5"" high 93.5"" wide ramp door",0,40,65,290,true
Double axle enclosed,24,"8.5""x24'","7'8"" high double door",0,45,70,315,true
Double axle enclosed,24A,"8.5""x24'","7'8"" high double door",0,45,70,315,true
Double axle enclosed,24R,"8.5""x24'","7'8"" high ramp door",0,45,70,315,true
Double axle enclosed,24RA,"8.5""x24'","6'8"" high ramp door",0,45,70,315,true
Double axle enclosed,32,8.5'x32',"32' GN 91""high double door",0,55,90,405,true
Double axle enclosed,34A,8.5'x34',"34' GN 96.5"" wide 91"" high",0,60,100,450,true
Double axle enclosed,34,"8.5""x34'","34' GN 96.5"" wide 91"" high Bright Red",0,60,100,450,true
